,Streams,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Score,duration
661,11577604,0.0102,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,1.9034705951896442,205.0
662,353601,0.271,0.7959999999999999,0.731,0.0,6,0.132,-4.879,0,0.135,84.671,5,0.887,-0.033578333978565335,210.0
663,19782,0.257,0.73,0.715,0.0,7,0.534,-5.277,0,0.314,103.936,4,0.5720000000000001,-1.524213712573264,317.0
664,353987,0.329,0.821,0.625,0.0,1,0.07,-6.2360000000000015,0,0.281,130.072,4,0.253,0.09435388051747497,198.0
665,711253,0.0308,0.81,0.785,4.41e-06,7,0.304,-4.627,1,0.122,119.957,4,0.581,0.4387648210197331,214.0
666,1544376,0.026,0.598,0.74,0.0,2,0.0895,-7.391,1,0.0684,123.945,4,0.342,0.7648694682160473,240.0
667,81090,0.344,0.826,0.853,0.0,10,0.0501,-4.207,0,0.171,92.969,3,0.924,-0.5691206953291164,183.0
668,35835,0.246,0.655,0.5589999999999999,0.00797,1,0.113,-8.717,1,0.0401,96.011,4,0.28300000000000003,-1.1280789837181056,211.0
669,79144,0.243,0.6829999999999999,0.691,0.0,8,0.14,-5.535,1,0.0432,179.91,4,0.732,-0.7238711616350543,220.0
670,1018865,0.0232,0.83,0.765,0.0159,7,0.0754,-4.205,0,0.101,102.028,4,0.3670000000000001,0.6376300004852123,188.0
671,26507,0.115,0.617,0.499,3.29e-06,6,0.215,-8.15,1,0.0574,118.934,4,0.0676,-1.2710068438576865,244.0
672,139450,0.7090000000000001,0.772,0.565,5.28e-05,5,0.112,-8.714,0,0.256,116.102,4,0.462,-0.4534592364852508,244.0
673,76121,0.421,0.7070000000000001,0.369,0.0,1,0.34,-10.819,1,0.43,120.249,4,0.222,-0.8036472481569529,229.0
674,17143,0.103,0.607,0.8170000000000001,0.0,5,0.322,-6.8610000000000015,0,0.401,174.19,4,0.902,-1.3990666729118708,220.0
675,2064387,0.0814,0.821,0.7829999999999999,0.0,8,0.102,-4.99,0,0.16,106.048,4,0.872,1.0144063322276946,221.0
676,21324,0.625,0.674,0.547,1.5399999999999998e-05,0,0.0927,-7.316,0,0.0276,81.99700000000001,4,0.423,-1.4193427084327157,213.0
677,115824,0.069,0.843,0.716,0.0,1,0.125,-5.8279999999999985,1,0.319,130.012,4,0.382,-0.5044302514932384,247.0
678,2921769,0.682,0.77,0.45,0.0,5,0.0814,-9.643,0,0.139,130.08,4,0.147,1.1041449044604805,186.0
679,109819,0.0121,0.835,0.732,0.0,1,0.138,-5.045,1,0.0457,100.002,4,0.28,-0.5582381606308335,163.0
680,1056014,0.326,0.85,0.57,0.0,3,0.12,-7.444,1,0.239,107.016,4,0.644,0.6028634723605405,221.0
681,66271,0.652,0.944,0.385,0.00262,1,0.0766,-13.739,1,0.195,114.987,4,0.693,-0.7928772767454829,232.0
682,81036,0.14300000000000002,0.8140000000000001,0.5870000000000001,0.0001,1,0.147,-5.4529999999999985,1,0.0888,140.03799999999998,4,0.0729,-0.9124297197984284,228.0
683,1830751,0.319,0.562,0.7929999999999999,0.0,4,0.0907,-5.337999999999999,0,0.331,149.407,5,0.65,0.9055026411813005,186.0
684,55129,0.3720000000000001,0.779,0.918,0.00012,9,0.13,-3.5610000000000004,0,0.0653,92.196,3,0.799,-0.9248105149532817,192.0
685,205667,0.165,0.7979999999999999,0.835,0.0,9,0.112,-3.832,1,0.202,150.04,4,0.609,-0.4195059736377675,139.0
686,40745,0.247,0.262,0.606,0.0,8,0.125,-6.646,1,0.0484,189.857,4,0.275,-0.8692737302161173,253.0
687,3080701,0.321,0.795,0.6629999999999999,0.0,10,0.129,-6.263,0,0.218,102.05,4,0.464,1.214953116836545,198.0
688,532054,0.401,0.726,0.638,0.0,9,0.115,-5.504,0,0.199,101.951,4,0.513,0.21533960349418332,184.0
689,42025,0.142,0.7959999999999999,0.505,0.0,6,0.1,-9.356,0,0.111,141.015,4,0.7240000000000001,-1.1338085176276103,234.0
690,1610415,0.174,0.795,0.847,0.000269,1,0.0709,-5.441,1,0.0341,121.96,4,0.638,0.8672821244487736,221.0
691,3391531,0.139,0.885,0.725,0.0,5,0.0605,-4.65,0,0.13,126.034,4,0.6,1.2338862107284791,201.0
692,637787,0.325,0.517,0.354,0.0,4,0.106,-12.334,1,0.0264,105.789,4,0.329,0.19143478631810837,252.0
693,80694,0.505,0.56,0.32,0.472,8,0.11,-14.34,1,0.0313,82.51100000000002,4,0.107,-0.5814919848576833,330.0
694,216445,0.0403,0.8079999999999999,0.665,0.0,9,0.336,-6.273,1,0.0523,119.987,4,0.633,-0.2893971096341648,199.0
