,Streams,index,Artist,URL,id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Score
701,288264,62963,Lacrim,https://open.spotify.com/track/7n29no7Sz3JiKfovk2mdoe,7n29no7Sz3JiKfovk2mdoe,0.203,https://api.spotify.com/v1/audio-analysis/7n29no7Sz3JiKfovk2mdoe,0.872,199147,0.624,0.0,2,0.0698,-6.49,1,0.287,126.001,4,https://api.spotify.com/v1/tracks/7n29no7Sz3JiKfovk2mdoe,audio_features,spotify:track:7n29no7Sz3JiKfovk2mdoe,0.358,0.07441860465116279
702,4803632,44934,Avicii,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2OALaHcDdKkjYEpAr0Qzab,0.134,https://api.spotify.com/v1/audio-analysis/2OALaHcDdKkjYEpAr0Qzab,0.655,181812,0.6659999999999999,2.12e-05,5,0.0683,-5.309,1,0.0612,102.977,4,https://api.spotify.com/v1/tracks/2OALaHcDdKkjYEpAr0Qzab,audio_features,spotify:track:2OALaHcDdKkjYEpAr0Qzab,0.272,1.491206896551724
703,196562,73185,Sofiane,https://open.spotify.com/track/0bZXIae48CY5UZ6MKuNutR,0bZXIae48CY5UZ6MKuNutR,0.51,https://api.spotify.com/v1/audio-analysis/0bZXIae48CY5UZ6MKuNutR,0.8190000000000001,202173,0.732,0.0,10,0.113,-4.212,0,0.349,153.036,4,https://api.spotify.com/v1/tracks/0bZXIae48CY5UZ6MKuNutR,audio_features,spotify:track:0bZXIae48CY5UZ6MKuNutR,0.451,0.12121212121212122
704,2175313,47770,Taylor Swift,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,6uFsE1JgZ20EXyU0JQZbUR,0.213,https://api.spotify.com/v1/audio-analysis/6uFsE1JgZ20EXyU0JQZbUR,0.773,211859,0.68,1.57e-05,9,0.122,-6.377999999999999,0,0.141,128.062,4,https://api.spotify.com/v1/tracks/6uFsE1JgZ20EXyU0JQZbUR,audio_features,spotify:track:6uFsE1JgZ20EXyU0JQZbUR,0.49700000000000005,0.729594163246694
705,2881657,15,Feder,https://open.spotify.com/track/6c12fBpCtuVIq8OFxT0A3S,6c12fBpCtuVIq8OFxT0A3S,0.078,https://api.spotify.com/v1/audio-analysis/6c12fBpCtuVIq8OFxT0A3S,0.716,196091,0.713,0.0331,8,0.0563,-6.246,1,0.0365,119.988,4,https://api.spotify.com/v1/tracks/6c12fBpCtuVIq8OFxT0A3S,audio_features,spotify:track:6c12fBpCtuVIq8OFxT0A3S,0.415,0.8018758833354748
706,66564,15389,Drake,https://open.spotify.com/track/2Na0z2gfN67Rzf0vp74Wi3,2Na0z2gfN67Rzf0vp74Wi3,0.736,https://api.spotify.com/v1/audio-analysis/2Na0z2gfN67Rzf0vp74Wi3,0.519,305374,0.5760000000000001,0.0,4,0.371,-9.162,1,0.414,87.98299999999999,4,https://api.spotify.com/v1/tracks/2Na0z2gfN67Rzf0vp74Wi3,audio_features,spotify:track:2Na0z2gfN67Rzf0vp74Wi3,0.373,0.020202020202020204
707,142617,9825,Eminem,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,5Z01UMMf7V1o0MzF86s6WJ,0.00704,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,0.698,326467,0.732,0.000647,2,0.359,-4.522,1,0.266,171.43099999999998,4,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,audio_features,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,0.0689,0.041245791245791245
708,1298817,82,LP,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,3SqvR3HYLlCTYzbDXJ52OC,0.1,https://api.spotify.com/v1/audio-analysis/3SqvR3HYLlCTYzbDXJ52OC,0.433,268105,0.7240000000000001,0.0,5,0.0918,-6.126,0,0.0372,174.00599999999997,4,https://api.spotify.com/v1/tracks/3SqvR3HYLlCTYzbDXJ52OC,audio_features,spotify:track:3SqvR3HYLlCTYzbDXJ52OC,0.6890000000000001,0.4188451594369434
709,3091710,1121,Tess,https://open.spotify.com/track/04DysC7XwYiKJqYwGM8mkU,04DysC7XwYiKJqYwGM8mkU,0.0063100000000000005,https://api.spotify.com/v1/audio-analysis/04DysC7XwYiKJqYwGM8mkU,0.6990000000000001,174907,0.6679999999999999,0.00011,9,0.12,-7.126,0,0.034,120.0,4,https://api.spotify.com/v1/tracks/04DysC7XwYiKJqYwGM8mkU,audio_features,spotify:track:04DysC7XwYiKJqYwGM8mkU,0.431,1.0272910372608257
710,40745,8767,Ellie Goulding,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,3zHq9ouUJQFQRf3cm1rRLu,0.247,https://api.spotify.com/v1/audio-analysis/3zHq9ouUJQFQRf3cm1rRLu,0.262,252534,0.606,0.0,8,0.125,-6.646,1,0.0484,189.857,4,https://api.spotify.com/v1/tracks/3zHq9ouUJQFQRf3cm1rRLu,audio_features,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,0.275,0.017857142857142856
711,3171410,68,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,6nxQdXa1uAL0rY72wPZu89,0.591,https://api.spotify.com/v1/audio-analysis/6nxQdXa1uAL0rY72wPZu89,0.488,210293,0.762,0.0,8,0.0763,-3.842,1,0.0865,123.889,4,https://api.spotify.com/v1/tracks/6nxQdXa1uAL0rY72wPZu89,audio_features,spotify:track:6nxQdXa1uAL0rY72wPZu89,0.7090000000000001,1.260406811731315
